,Unnamed: 0,id,city,code,name,urlKey,budget,tag,tags,rating,reviewNumber,discounts,is_premium,is_promoted,chain.id,chain.name,chain.url_key,chain.is_accepting_global_vouchers,chain.code,chain.main_vendor_code,characteristics.cuisines,characteristics.food_characteristics,characteristics.primary_cuisine.id,characteristics.primary_cuisine.name,characteristics.primary_cuisine.url_key,characteristics.primary_cuisine.main,lat,long,street_address,Unnamed: 0.1,@id,address.streetAddress,address.addressLocality,geo.latitude,geo.longitude,potentialAction.priceSpecification.price,cluster,centroids
0,0,54033.0,islamabad,c4kf,Cafeina Time,cafeina-time,3.0,,[],2.5,2.0,[],False,False,,,,,,,"[{'id': 89, 'name': 'Non-alcoholic Drinks', 'url_key': 'non-alcoholic-drinks', 'main': False}, {'id': 84, 'name': 'Desserts', 'url_key': 'desserts', 'main': False}, {'id': 85, 'name': 'Burgers', 'url_key': 'burgers', 'main': False}, {'id': 75, 'name': 'Asian', 'url_key': 'asian', 'main': True}]","[{'id': 56, 'name': 'BBQ', 'is_halal': False, 'is_vegetarian': False}, {'id': 68, 'name': 'Fried Chicken', 'is_halal': False, 'is_vegetarian': False}, {'id': 58, 'name': 'Chicken', 'is_halal': False, 'is_vegetarian': False}, {'id': 114, 'name': 'Karahi', 'is_halal': False, 'is_vegetarian': False}, {'id': 147, 'name': 'Biryani', 'is_halal': False, 'is_vegetarian': False}, {'id': 148, 'name': 'Chips', 'is_halal': False, 'is_vegetarian': False}, {'id': 227, 'name': 'Ramadan Takeaway', 'is_halal': False, 'is_vegetarian': False}, {'id': 84, 'name': 'Rice', 'is_halal': False, 'is_vegetarian': False}, {'id': 74, 'name': 'Ice Cream', 'is_halal': False, 'is_vegetarian': False}, {'id': 65, 'name': 'Fast Food', 'is_halal': False, 'is_vegetarian': False}, {'id': 230, 'name': 'Takeaway Eid', 'is_halal': False, 'is_vegetarian': False}]",75.0,Asian,asian,True,,,,0,https://www.foodpanda.pk/restaurant/c4kf/cafeina-time,"Cafeina Time City Center, D-12 Markaz  islamabad",Islamabad,33.7025871,72.9483978,376.5,5,1
1,1,57557.0,islamabad,afjv,Rapido PIZZA & FAST FOOD,rapido-pizza-and-fast-food,3.0,,[],4.1,44.0,[],False,False,,,,,,,"[{'id': 73, 'name': 'Pizza', 'url_key': 'pizza', 'main': False}, {'id': 85, 'name': 'Burgers', 'url_key': 'burgers', 'main': False}, {'id': 75, 'name': 'Asian', 'url_key': 'asian', 'main': True}]","[{'id': 99, 'name': 'Wraps', 'is_halal': False, 'is_vegetarian': False}, {'id': 68, 'name': 'Fried Chicken', 'is_halal': False, 'is_vegetarian': False}, {'id': 148, 'name': 'Chips', 'is_halal': False, 'is_vegetarian': False}, {'id': 90, 'name': 'Soup', 'is_halal': False, 'is_vegetarian': False}, {'id': 227, 'name': 'Ramadan Takeaway', 'is_halal': False, 'is_vegetarian': False}, {'id': 119, 'name': 'Roll Paratha', 'is_halal': False, 'is_vegetarian': False}, {'id': 230, 'name': 'Takeaway Eid', 'is_halal': False, 'is_vegetarian': False}]",75.0,Asian,asian,True,,,,1,https://www.foodpanda.pk/restaurant/afjv/rapido-pizza-and-fast-food,"Shop# 31, Ground floor, AlGhaffar Mall, G-11 Markaz, Islamabad",Islamabad,33.66883370000001,72.99838670000001,652.89,0,0
2,2,24444.0,islamabad,n9jb,Rahat Pizza – F-11,rahat-pizza-f-11,3.0,Discount 20%,"[{'code': 'DEAL', 'text': 'Discount 20%'}]",2.4,58.0,[],False,False,,,,,,,"[{'id': 73, 'name': 'Pizza', 'url_key': 'pizza', 'main': False}, {'id': 85, 'name': 'Burgers', 'url_key': 'burgers', 'main': False}, {'id': 86, 'name': 'Fast Food', 'url_key': 'fast-food', 'main': True}]","[{'id': 99, 'name': 'Wraps', 'is_halal': False, 'is_vegetarian': False}]",86.0,Fast Food,fast-food,True,,,,2,https://www.foodpanda.pk/restaurant/n9jb/rahat-pizza-f-11,shop 1 select center plaza 2nd floor f11 markaz,Islamabad,33.6847,72.98645,370.91,3,0
3,3,68992.0,islamabad,g7f1,Desi Zaiqa,desi-zaiqa-g7f1,2.0,Flat 30% OFF,"[{'code': 'DEAL', 'text': 'Flat 30% OFF'}, {'code': 'NEW', 'text': 'NEXTGEN_NEW_TAG'}]",1.3,3.0,[],False,False,,,,,,,"[{'id': 85, 'name': 'Burgers', 'url_key': 'burgers', 'main': False}, {'id': 86, 'name': 'Fast Food', 'url_key': 'fast-food', 'main': True}]",[],86.0,Fast Food,fast-food,True,,,,3,https://www.foodpanda.pk/restaurant/g7f1/desi-zaiqa-g7f1,"House no.13, Street no. 26, G-13/2, Islamabad.",Islamabad,33.6503062,72.958372,234.77,4,0
4,4,10654.0,islamabad,t1qn,Waseem Shanwari,waseem-shanwari,3.0,Top Rated,"[{'code': 'FREETEXT', 'text': 'Top Rated'}]",4.3,1109.0,[],False,False,,Waseem Shanwari,waseem-shanwari,,cx0es,l2a7,"[{'id': 89, 'name': 'Non-alcoholic Drinks', 'url_key': 'non-alcoholic-drinks', 'main': False}, {'id': 139, 'name': 'Pakistani', 'url_key': 'pakistani', 'main': True}]","[{'id': 121, 'name': 'Tandoor', 'is_halal': False, 'is_vegetarian': False}, {'id': 56, 'name': 'BBQ', 'is_halal': False, 'is_vegetarian': False}, {'id': 112, 'name': 'Namkeen', 'is_halal': False, 'is_vegetarian': False}, {'id': 58, 'name': 'Chicken', 'is_halal': False, 'is_vegetarian': False}, {'id': 227, 'name': 'Ramadan Takeaway', 'is_halal': False, 'is_vegetarian': False}, {'id': 84, 'name': 'Rice', 'is_halal': False, 'is_vegetarian': False}, {'id': 230, 'name': 'Takeaway Eid', 'is_halal': False, 'is_vegetarian': False}]",139.0,Pakistani,pakistani,True,,,,4,https://www.foodpanda.pk/restaurant/t1qn/waseem-shanwari,Shop no.1 & 2 Main double road near Faisal bank E-11/2 Markaz.,Islamabad,33.699181,72.973778,317.5,1,0
5,5,53095.0,islamabad,h3ul,nani jan ka tarka,nani-jan-ka-tarka,2.0,Flat 20% OFF,"[{'code': 'DEAL', 'text': 'Flat 20% OFF'}, {'code': 'FREETEXT', 'text': 'Voucher: EF75'}]",4.1,360.0,[],False,False,,,,,,,"[{'id': 89, 'name': 'Non-alcoholic Drinks', 'url_key': 'non-alcoholic-drinks', 'main': False}, {'id': 71, 'name': 'Sandwiches', 'url_key': 'sandwiches', 'main': False}, {'id': 75, 'name': 'Asian', 'url_key': 'asian', 'main': True}]","[{'id': 58, 'name': 'Chicken', 'is_halal': False, 'is_vegetarian': False}, {'id': 146, 'name': 'Kabab', 'is_halal': False, 'is_vegetarian': False}, {'id': 114, 'name': 'Karahi', 'is_halal': False, 'is_vegetarian': False}, {'id': 85, 'name': 'Salad', 'is_halal': False, 'is_vegetarian': False}, {'id': 230, 'name': 'Takeaway Eid', 'is_halal': False, 'is_vegetarian': False}]",75.0,Asian,asian,True,,,,5,https://www.foodpanda.pk/restaurant/h3ul/nani-jan-ka-tarka,"Tariq heights apartment no.403, street 73 , F-11/1 Islamabad",Islamabad,33.680841,72.98840729999999,319.0,3,0
6,6,42298.0,islamabad,p6sb,Lahori Chaska Ziaqa Restaurant & Biryani Center,lahori-chaska-ziaqa-restaurant-and-biryani-center,3.0,,[],4.1,756.0,[],False,False,,,,,,,"[{'id': 89, 'name': 'Non-alcoholic Drinks', 'url_key': 'non-alcoholic-drinks', 'main': False}, {'id': 139, 'name': 'Pakistani', 'url_key': 'pakistani', 'main': True}, {'id': 84, 'name': 'Desserts', 'url_key': 'desserts', 'main': False}]","[{'id': 67, 'name': 'Fish', 'is_halal': False, 'is_vegetarian': False}, {'id': 58, 'name': 'Chicken', 'is_halal': False, 'is_vegetarian': False}, {'id': 230, 'name': 'Takeaway Eid', 'is_halal': False, 'is_vegetarian': False}, {'id': 121, 'name': 'Tandoor', 'is_halal': False, 'is_vegetarian': False}, {'id': 222, 'name': 'Ramadan deals', 'is_halal': False, 'is_vegetarian': False}, {'id': 135, 'name': 'Chai Tea', 'is_halal': False, 'is_vegetarian': False}, {'id': 146, 'name': 'Kabab', 'is_halal': False, 'is_vegetarian': False}, {'id': 147, 'name': 'Biryani', 'is_halal': False, 'is_vegetarian': False}, {'id': 227, 'name': 'Ramadan Takeaway', 'is_halal': False, 'is_vegetarian': False}, {'id': 107, 'name': 'Halwa', 'is_halal': False, 'is_vegetarian': False}, {'id': 109, 'name': 'Lassi', 'is_halal': False, 'is_vegetarian': False}, {'id': 84, 'name': 'Rice', 'is_halal': False, 'is_vegetarian': False}, {'id': 85, 'name': 'Salad', 'is_halal': False, 'is_vegetarian': False}, {'id': 76, 'name': 'Meat', 'is_halal': False, 'is_vegetarian': False}]",139.0,Pakistani,pakistani,True,,,,6,https://www.foodpanda.pk/restaurant/p6sb/lahori-chaska-ziaqa-restaurant-and-biryani-center,"Shop no, 1-2, Plaza no. 15, near Tooba Masjid,, E-11/3 Markaz",Islamabad,33.704087,72.979287,876.08,2,0
7,7,66516.0,islamabad,jw33,Chinese Hut,chinese-hut-jw33,3.0,,[],3.8,9.0,[],False,False,,,,,,,"[{'id': 89, 'name': 'Non-alcoholic Drinks', 'url_key': 'non-alcoholic-drinks', 'main': False}, {'id': 73, 'name': 'Pizza', 'url_key': 'pizza', 'main': False}, {'id': 74, 'name': 'Chinese', 'url_key': 'chinese', 'main': True}]","[{'id': 90, 'name': 'Soup', 'is_halal': False, 'is_vegetarian': False}, {'id': 230, 'name': 'Takeaway Eid', 'is_halal': False, 'is_vegetarian': False}]",74.0,Chinese,chinese,True,,,,7,https://www.foodpanda.pk/restaurant/jw33/chinese-hut-jw33,"Plot no.6, Street no. 1,  Basement, Al Maher Colony, Margalla Road, Sector E-11",Islamabad,33.6918739,72.98093695,492.32,2,0
8,8,63455.0,islamabad,k0xu,MFC- E-11,mfc-e-11,2.0,,[],4.2,145.0,[],False,False,,,,,,,"[{'id': 71, 'name': 'Sandwiches', 'url_key': 'sandwiches', 'main': False}, {'id': 85, 'name': 'Burgers', 'url_key': 'burgers', 'main': False}, {'id': 74, 'name': 'Chinese', 'url_key': 'chinese', 'main': True}]","[{'id': 90, 'name': 'Soup', 'is_halal': False, 'is_vegetarian': False}, {'id': 229, 'name': 'Festive Deals', 'is_halal': False, 'is_vegetarian': False}, {'id': 84, 'name': 'Rice', 'is_halal': False, 'is_vegetarian': False}, {'id': 230, 'name': 'Takeaway Eid', 'is_halal': False, 'is_vegetarian': False}]",74.0,Chinese,chinese,True,,,,8,https://www.foodpanda.pk/restaurant/k0xu/mfc-e-11,"Shop.2, Basement Mahnoor Arcade, Near Lebanese Food, E-11/2",Islamabad,33.69920919,72.97387165,425.92,1,0
9,9,63914.0,islamabad,dsp1,Variety Naan Center,variety-naan-center,1.0,Top Rated,"[{'code': 'FREETEXT', 'text': 'Top Rated'}]",4.4,382.0,[],False,False,,,,,,,"[{'id': 139, 'name': 'Pakistani', 'url_key': 'pakistani', 'main': True}]","[{'id': 110, 'name': 'Paratha', 'is_halal': False, 'is_vegetarian': False}, {'id': 121, 'name': 'Tandoor', 'is_halal': False, 'is_vegetarian': False}, {'id': 227, 'name': 'Ramadan Takeaway', 'is_halal': False, 'is_vegetarian': False}, {'id': 230, 'name': 'Takeaway Eid', 'is_halal': False, 'is_vegetarian': False}]",139.0,Pakistani,pakistani,True,,,,9,https://www.foodpanda.pk/restaurant/dsp1/variety-naan-center,Variety naan center f-11 markaz near khan hotel,Islamabad,33.683555600000005,72.9881944,84.58,3,0
